01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
03/0308,"（博通法師徃紀伊國見三穂石室作歌三首）","常磐成 石室者今毛 安里家礼騰 住家類人曽 常無里家留","常磐なす石室は今もありけれど住みける人ぞ常なかりける","ときはなす いはやはいまも ありけれど すみけるひとぞ つねなかりける","なし","なし","雑歌 作者：博通法師 羈旅 和歌山 地名","ときはなす,#いはやはいまも,#ありけれど,#すみけるひとぞ,#つねなかりける##"
03/0309,"（博通法師徃紀伊國見三穂石室作歌三首）","石室戸尓 立在松樹 汝乎見者 昔人乎 相見如之","石室戸に立てる松の木汝を見れば昔の人を相見るごとし","いはやとに たてるまつのき なをみれば むかしのひとを あひみるごとし","なし","なし","雑歌 作者：博通法師 羈旅 和歌山 地名 植物","いはやとに[寛],#たてるまつのき,[寛]#なをみれば,[寛]なをみれは,#むかしのひとを[寛],#あひみるごとし,[寛]あひみることし,##"
03/0310,"門部王詠東市之樹作歌一首 [後賜姓大原真人氏也]","東 市之殖木乃 木足左右 不相久美 宇倍<戀>尓家利","東の市の植木の木垂るまで逢はず久しみうべ恋ひにけり","ひむがしの いちのうゑきの こだるまで あはずひさしみ うべこひにけり","なし","吾戀 -> 戀 [類][紀]","雑歌 作者：門部王 東市 奈良都 植物","ひむがしの,[寛]ひむかしの,#いちのうゑきの,[寛]いちのうえきの,#こだるまで,[寛]こたるまて,#あはずひさしみ,[寛]あはぬきみうへ,#うべこひにけり,[寛]われこひにけり,##"
03/0311,"按作村主益人従豊前國上京時作歌一首","梓弓 引豊國之 鏡山 不見久有者 戀敷牟鴨","梓弓引き豊国の鏡山見ず久ならば恋しけむかも","あづさゆみ ひきとよくにの かがみやま みずひさならば こほしけむかも","なし","なし","雑歌 作者：按作益人 鏡山 豊前国 福岡県 羈旅 地名 枕詞","あづさゆみ,[寛]あつさゆみ,#ひきとよくにの,[寛]ひくとよくにの,#かがみやま,[寛]かかみやま,#みずひさならば,[寛]みてひさならは,#こほしけむかも[寛],##"
03/0312,"式部卿藤原宇合卿被使改造難波堵之時作歌一首","昔者社 難波居中跡 所言奚米 今者京引 都備仁鷄里","昔こそ難波田舎と言はれけめ今は都引き都びにけり","むかしこそ なにはゐなかと いはれけめ いまはみやこひき みやこびにけり","なし","歌 [西] 謌","雑歌 作者：藤原宇合 難波 大阪 地名","むかしこそ[寛],#なにはゐなかと[寛],#いはれけめ[寛],#いまはみやこひき,[寛]いまはみやひと,#みやこびにけり,[寛]そなはりにけり,##"
03/0313,"土理宣令歌一首","見吉野之 瀧乃白浪 雖不知 語之告者 古所念","み吉野の滝の白波知らねども語りし継げばいにしへ思ほゆ","みよしのの たきのしらなみ しらねども かたりしつげば いにしへおもほゆ","なし","なし","雑歌 作者：土理宣令 吉野 地名","みよしのの[寛],#たきのしらなみ[寛],#しらねども,[寛]しらねとも,#かたりしつげば,[寛]かたりしつけは,#いにしへおもほゆ,[寛]むかしおもほゆ,##"
03/0314,"波多朝臣<小>足歌一首","小浪 礒越道有 能登湍河 音之清左 多藝通瀬毎尓","さざれ波礒越道なる能登瀬川音のさやけさたぎつ瀬ごとに","さざれなみ いそこしぢなる のとせがは おとのさやけさ たぎつせごとに","なし","少 -> 小 [類][古][温]","雑歌 作者：波多小足 能登瀬川 滋賀県 羈旅 土地讃美 地名 枕詞","さざれなみ,[寛]さされなみ,#いそこしぢなる,[寛]いそこせちなる,#のとせがは,[寛]のとせかは,#おとのさやけさ[寛],#たぎつせごとに,[寛]たきつせことに,##"
03/0315,"暮春之月幸芳野離宮時中納言大伴卿奉勅作歌一首[并短歌] [未逕奏上歌]","見吉野之 芳野乃宮者 山可良志 貴有師 <水>可良思 清有師 天地与 長久 萬代尓 不改将有 行幸之<宮>","み吉野の 吉野の宮は 山からし 貴くあらし 川からし さやけくあらし 天地と 長く久しく 万代に 変はらずあらむ 幸しの宮","みよしのの よしののみやは やまからし たふとくあらし かはからし さやけくあらし あめつちと ながくひさしく よろづよに かはらずあらむ いでましのみや","なし","永 -> 水 [類] / 處 -> 宮 [類][紀]","雑歌 作者：大伴旅人 吉野 宮廷讃美 地名 土地讃美","みよしのの[寛],#よしののみやは[寛],#やまからし[寛],#たふとくあらし,[寛]たふとかるらし,#かはからし,[寛]なかからし,#さやけくあらし,[寛]いさきよからし,#あめつちと[寛],#ながくひさしく,[寛]なかくひさしき,#よろづよに,[寛]よろつよに,#かはらずあらむ,[寛]かはらすあらむ,#いでましのみや,[寛]みゆきしみや##"
03/0316,"（暮春之月幸芳野離宮時中納言大伴卿奉勅作歌一首并短歌 [未逕奏上歌]）反歌","昔見之 象乃小河乎 今見者 弥清 成尓来鴨","昔見し象の小川を今見ればいよよさやけくなりにけるかも","むかしみし きさのをがはを いまみれば いよよさやけく なりにけるかも","なし","なし","雑歌 作者：大伴旅人 吉野 地名 土地讃美","むかしみし[寛],#きさのをがはを,[寛]きさのおかはを,#いまみれば,[寛]いまみれは,#いよよさやけく,[寛]いよいよきよく,#なりにけるかも[寛],##"
03/0317,"山部宿祢赤人望不盡山歌一首[并短歌]","天地之 分時従 神左備手 高貴寸 駿河有 布士能高嶺乎 天原 振放見者 度日之 陰毛隠比 照月乃 光毛不見 白雲母 伊去波伐加利 時自久曽 雪者落家留 語告 言継将徃 不盡能高嶺者","天地の 別れし時ゆ 神さびて 高く貴き 駿河なる 富士の高嶺を 天の原 振り放け見れば 渡る日の 影も隠らひ 照る月の 光も見えず 白雲も い行きはばかり 時じくぞ 雪は降りける 語り継ぎ 言ひ継ぎ行かむ 富士の高嶺は","あめつちの わかれしときゆ かむさびて たかくたふとき するがなる ふじのたかねを あまのはら ふりさけみれば わたるひの かげもかくらひ てるつきの ひかりもみえず しらくもも いゆきはばかり ときじくぞ ゆきはふりける かたりつぎ いひつぎゆかむ ふじのたかねは","なし","歌 [西] 謌 / 短歌 [西] 短謌","雑歌 作者：山部赤人 富士山 静岡 地名 土地讃美 羈旅","あめつちの[寛],#わかれしときゆ,[寛]#かむさびて,[寛]かみさひて,#たかくたふとき[寛],#するがなる,[寛]するかなる,#ふじのたかねを,[寛]ふしのたかねを,#あまのはら[寛],#ふりさけみれば,[寛]ふりさけみれは,#わたるひの[寛],#かげもかくらひ,[寛]かけもかくろひ,#てるつきの[寛],#ひかりもみえず,[寛]ひかりもみえす,#しらくもも[寛],#いゆきはばかり,[寛]いゆきははかり,#ときじくぞ,[寛]ときしくそ,#ゆきはふりける[寛],#かたりつぎ,[寛]かたりつき,#いひつぎゆかむ,[寛]いひつきゆかむ,#ふじのたかねは,[寛]ふしのたかねは,##"
03/0318,"（山部宿祢赤人望不盡山歌一首[并短歌]）反歌","田兒之浦従 打出而見者 真白衣 不盡能高嶺尓 雪波零家留","田子の浦ゆうち出でて見れば真白にぞ富士の高嶺に雪は降りける","たごのうらゆ うちいでてみれば ましろにぞ ふじのたかねに ゆきはふりける","なし","歌 [西] 謌 [西（訂正右書）] 歌","雑歌 作者：山部赤人 富士山 静岡 土地讃美 国見 地名 羈旅","たごのうらゆ,[寛]たこのうらに,#うちいでてみれば,[寛]うちいててみれは,#ましろにぞ,[寛]ましろにそ,#ふじのたかねに,[寛]ふしのたかねに,#ゆきはふりける[寛],##"
03/0319,"詠不盡山歌一首[并短歌]","奈麻余美乃 甲斐乃國 打縁流 駿河能國与 己知其智乃 國之三中従 出<立>有 不盡能高嶺者 天雲毛 伊去波伐加利 飛鳥母 翔毛不上 燎火乎 雪以滅 落雪乎 火用消通都 言不得 名不知 霊母 座神香<聞> 石花海跡 名付而有毛 彼山之 堤有海曽 不盡河跡 人乃渡毛 其山之 水乃當焉 日本之 山跡國乃 鎮十方 座祇可間 寳十方 成有山可聞 駿河有 不盡能高峯者 雖見不飽香聞","なまよみの 甲斐の国 うち寄する 駿河の国と こちごちの 国のみ中ゆ 出で立てる 富士の高嶺は 天雲も い行きはばかり 飛ぶ鳥も 飛びも上らず 燃ゆる火を 雪もち消ち 降る雪を 火もち消ちつつ 言ひも得ず 名付けも知らず くすしくも います神かも せの海と 名付けてあるも その山の つつめる海ぞ 富士川と 人の渡るも その山の 水のたぎちぞ 日の本の 大和の国の 鎮めとも います神かも 宝とも なれる山かも 駿河なる 富士の高嶺は 見れど飽かぬかも","なまよみの かひのくに うちよする するがのくにと こちごちの くにのみなかゆ いでたてる ふじのたかねは あまくもも いゆきはばかり とぶとりも とびものぼらず もゆるひを ゆきもちけち ふるゆきを ひもちけちつつ いひもえず なづけもしらず くすしくも いますかみかも せのうみと なづけてあるも そのやまの つつめるうみぞ ふじかはと ひとのわたるも そのやまの みづのたぎちぞ ひのもとの やまとのくにの しづめとも いますかみかも たからとも なれるやまかも するがなる ふじのたかねは みれどあかぬかも","？（右一首高橋連蟲麻呂之歌中出焉 以類載此）","短歌 [西] 短謌 / 之 -> 立 [古] / <> -> 聞 [西（右書）][類][古][紀]","雑歌 作者：高橋虫麻呂 富士山 静岡 枕詞 地名 土地讃美 羈旅","なまよみの[寛],#かひのくに[寛],#うちよする[寛],#するがのくにと,[寛]するかのくにと,#こちごちの,[寛]こちこちの,#くにのみなかゆ,[寛]くにのさかひに,#いでたてる,[寛]いててしある,#ふじのたかねは,[寛]ふしのたかねは,#あまくもも[寛],#いゆきはばかり,[寛]いゆきははかり,#とぶとりも,[寛]とふとりも,#とびものぼらず,[寛]とひものほらす,#もゆるひを[寛],#ゆきもちけち,[寛]ゆきもてきやし,#ふるゆきを[寛],#ひもちけちつつ,[寛]ひもてけれつつ,#いひもえず,[寛]いひかねて,#なづけもしらず,[寛]なをもしられす,#くすしくも,[寛]あやしくも,#いますかみかも[寛],#せのうみと[寛],#なづけてあるも,[寛]なつけてあるも,#そのやまの[寛],#つつめるうみぞ,[寛]つつめるうみそ,#ふじかはと,[寛]ふしかはと,#ひとのわたるも[寛],#そのやまの[寛],#みづのたぎちぞ,[寛]みつのあたりそ,#ひのもとの[寛],#やまとのくにの[寛],#しづめとも,[寛]しつめとも,#いますかみかも[寛],#たからとも[寛],#なれるやまかも[寛],#するがなる,[寛]するかなる,#ふじのたかねは,[寛]ふしのたかねは,#みれどあかぬかも,[寛]みれとあかぬかも,##"
03/0320,"（詠不盡山歌一首[并短歌]）反歌","不盡嶺尓 零置雪者 六月 十五日消者 其夜布里家利","富士の嶺に降り置く雪は六月の十五日に消ぬればその夜降りけり","ふじのねに ふりおくゆきは みなづきの もちにけぬれば そのよふりけり","？（右一首高橋連蟲麻呂之歌中出焉 以類載此）","歌 [西] 謌 [西（訂正右書）] 歌","雑歌 作者：高橋虫麻呂 富士山 静岡 地名 土地讃美 羈旅","ふじのねに,[寛]ふしのねに,#ふりおくゆきは[寛],#みなづきの,[寛]みなつきの,#もちにけぬれば,[寛]もちにけぬれは,#そのよふりけり[寛],##"
03/0321,"（（詠不盡山歌一首[并短歌]）反歌）","布士能嶺乎 高見恐見 天雲毛 伊去羽斤 田菜引物緒","富士の嶺を高み畏み天雲もい行きはばかりたなびくものを","ふじのねを たかみかしこみ あまくもも いゆきはばかり たなびくものを","右一首高橋連蟲麻呂之歌中出焉 以類載此","なし","雑歌 作者：高橋虫麻呂 富士山 静岡 地名 土地讃美 羈旅","ふじのねを,[寛]ふしのねを,#たかみかしこみ[寛],#あまくもも[寛],#いゆきはばかり,[寛]いゆきははかり,#たなびくものを,[寛]たなひくものを,##"
03/0322,"山部宿祢赤人至伊豫温泉作歌一首[并短歌]","皇神祖之 神乃御言<乃> 敷座 國之盡 湯者霜 左波尓雖在 嶋山之 宣國跡 極此<疑> 伊豫能高嶺乃 射狭庭乃 崗尓立而 歌思 辞思為師 三湯之上乃 樹村乎見者 臣木毛 生継尓家里 鳴鳥之 音毛不更 遐代尓 神左備将徃 行幸處","すめろきの 神の命の 敷きませる 国のことごと 湯はしも さはにあれども 島山の 宣しき国と こごしかも 伊予の高嶺の 射狭庭の 岡に立たして 歌思ひ 辞思はしし み湯の上の 木群を見れば 臣の木も 生ひ継ぎにけり 鳴く鳥の 声も変らず 遠き代に 神さびゆかむ 幸しところ","すめろきの かみのみことの しきませる くにのことごと ゆはしも さはにあれども しまやまの よろしきくにと こごしかも いよのたかねの いざにはの をかにたたして うたおもひ ことおもはしし みゆのうへの こむらをみれば おみのきも おひつぎにけり なくとりの こゑもかはらず とほきよに かむさびゆかむ いでましところ","なし","短歌 [西] 短謌 / <> -> 乃 [西（右書）][紀][温] / 凝 -> 疑 [細] / 崗 [紀][細]（塙） 岡 / 歌 [西] 謌 [西（右書）] 歌 [全註釈]（塙）（楓） 敲","雑歌 作者：山部赤人 伊予温泉 道後温泉 愛媛 羈旅 植物 地名 国見 土地讃美","すめろきの[寛],#かみのみことの[寛],#しきませる,[寛]しきます,#くにのことごと,[寛]くにしれ,#ゆはしも[寛],#さはにあれども,[寛]さはにあれとも,#しまやまの[寛],#よろしきくにと[寛],#こごしかも,[寛]ここしき,#いよのたかねの[寛],#いざにはの,[寛]いをにはの,#をかにたたして[寛],#うたおもひ,[寛]うたふおもひ,#ことおもはしし,[寛]いふおもひせし,#みゆのうへの[寛],#こむらをみれば,[寛]こむらをみれは,#おみのきも[寛],#おひつぎにけり,[寛]おひつきにけり,#なくとりの[寛],#こゑもかはらず,[寛]こゑもかはらす,#とほきよに[寛],#かむさびゆかむ,[寛]かみさひゆかむ,#いでましところ,[寛]みゆきしところ,##"
03/0323,"（山部宿祢赤人至伊豫温泉作歌一首[并短歌]）反歌","百式紀乃 大宮人之 飽田津尓 船乗将為 年之不知久","ももしきの大宮人の熟田津に船乗りしけむ年の知らなく","ももしきの おほみやひとの にきたつに ふなのりしけむ としのしらなく","なし","歌 [西] 謌","雑歌 作者：山部赤人 伊予温泉 道後温泉 愛媛 羈旅 土地讃美 地名","ももしきの[寛],#おほみやひとの[寛],#にきたつに[寛],#ふなのりしけむ[寛],#としのしらなく[寛],##"
03/0324,"登神岳山部宿祢赤人作歌一首[并短歌]","三諸乃 神名備山尓 五百枝刺 繁生有 都賀乃樹乃 弥継<嗣>尓 玉葛 絶事無 在管裳 不止将通 明日香能 舊京師者 山高三 河登保志呂之 春日者 山四見容之 秋夜者 河四清之 <旦>雲二 多頭羽乱 夕霧丹 河津者驟 毎見 哭耳所泣 古思者","みもろの 神なび山に 五百枝さし しじに生ひたる 栂の木の いや継ぎ継ぎに 玉葛 絶ゆることなく ありつつも やまず通はむ 明日香の 古き都は 山高み 川とほしろし 春の日は 山し見がほし 秋の夜は 川しさやけし 朝雲に 鶴は乱れ 夕霧に かはづは騒く 見るごとに 音のみし泣かゆ いにしへ思へば","みもろの かむなびやまに いほえさし しじにおひたる つがのきの いやつぎつぎに たまかづら たゆることなく ありつつも やまずかよはむ あすかの ふるきみやこは やまたかみ かはとほしろし はるのひは やましみがほし あきのよは かはしさやけし あさくもに たづはみだれ ゆふぎりに かはづはさわく みるごとに ねのみしなかゆ いにしへおもへば","なし","飼 -> 嗣 [西（右書）][類][紀] / 且 -> 旦 [類][紀][温]","雑歌 作者：山部赤人 神丘 神奈備山 飛鳥 荒都 枕詞 植物","みもろの,[寛]みもろの,#かむなびやまに,[寛]かみなひやまに,#いほえさし[寛],#しじにおひたる,[寛]ししにおひたる,#つがのきの,[寛]とかのきの,#いやつぎつぎに,[寛]いやつきつきに,#たまかづら,[寛]たまかつら,#たゆることなく[寛],#ありつつも[寛],#やまずかよはむ,[寛]やますかよはむ,#あすかの[寛],#ふるきみやこは[寛],#やまたかみ[寛],#かはとほしろし[寛],#はるのひは[寛],#やましみがほし,[寛]やましみかほし,#あきのよは[寛],#かはしさやけし[寛],#あさくもに[寛],#たづはみだれ,[寛]たつはみたれて,#ゆふぎりに,[寛]ゆふきりに,#かはづはさわく,[寛]かはつはさわく,#みるごとに,[寛]みることに,#ねのみしなかゆ,[寛]ねにのみなかる,#いにしへおもへば,[寛]むかしおもへは,##"
03/0325,"（登神岳山部宿祢赤人作歌一首[并短歌]）反歌","明日香河 川余藤不去 立霧乃 念應過 孤悲尓不有國","明日香河川淀さらず立つ霧の思ひ過ぐべき恋にあらなくに","あすかがは かはよどさらず たつきりの おもひすぐべき こひにあらなくに","なし","歌 [西] 謌 [西（右書）] 歌","雑歌 作者：山部赤人 神丘 神奈備山 飛鳥 荒都 地名 鎮魂","あすかがは,[寛]あすかかは,#かはよどさらず,[寛]かはよとさらす,#たつきりの[寛],#おもひすぐべき,[寛]おもひすくへき,#こひにあらなくに[寛],##"
03/0326,"門部王在難波見漁父燭光作歌一首 [後賜姓大原真人氏也]","見渡者 明石之浦尓 焼火乃 保尓曽出流 妹尓戀久","見わたせば明石の浦に燭す火の穂にぞ出でぬる妹に恋ふらく","みわたせば あかしのうらに ともすひの ほにぞいでぬる いもにこふらく","なし","なし","雑歌 作者：門部王 難波 大阪 羈旅 望郷 地名","みわたせば,[寛]みわたせは,#あかしのうらに[寛],#ともすひの,[寛]たけるひの,#ほにぞいでぬる,[寛]ほにそいてぬる,#いもにこふらく[寛],##"
03/0327,"或娘子等<贈>褁乾鰒戯請通觀僧之咒願時通觀作歌一首","海若之 奥尓持行而 雖放 宇礼牟曽此之 将死還生","海神の沖に持ち行きて放つともうれむぞこれがよみがへりなむ","わたつみの おきにもちゆきて はなつとも うれむぞこれが よみがへりなむ","なし","賜 -> 贈 [紀] / 歌 [西] 謌","雑歌 作者：娘子 通観 奈良都 地名 諧謔","わたつみの[寛],#おきにもちゆきて[寛],#はなつとも[寛],#うれむぞこれが,[寛]うれもそこれか,#よみがへりなむ,[寛]しにかへかいかん,##"
03/0328,"<大>宰少貳小野老朝臣歌一首","青丹吉 寧樂乃京師者 咲花乃 薫如 今盛有","あをによし奈良の都は咲く花のにほふがごとく今盛りなり","あをによし ならのみやこは さくはなの にほふがごとく いまさかりなり","なし","太 -> 大 [古][紀][京]","雑歌 作者：小野老 奈良都 都讃美 地名 枕詞 太宰府 福岡","あをによし[寛],#ならのみやこは[寛],#さくはなの[寛],#にほふがごとく,[寛]にほふかことく,#いまさかりなり[寛],##"
03/0329,"防人司佑大伴四綱歌二首","安見知之 吾王乃 敷座在 國中者 京師所念","やすみしし我が大君の敷きませる国の中には都し思ほゆ","やすみしし わがおほきみの しきませる くにのうちには みやこしおもほゆ","なし","なし","雑歌 作者：大伴四綱 太宰府 福岡 望郷 地名 枕詞 望郷","やすみしし[寛],#わがおほきみの,[寛]わかおほきみの,#しきませる[寛],#くにのうちには,[寛]くにのなかには,#みやこしおもほゆ,[寛]みやこしそおもふ,##"
03/0330,"（防人司佑大伴四綱歌二首）","藤浪之 花者盛尓 成来 平城京乎 御念八君","藤波の花は盛りになりにけり奈良の都を思ほすや君","ふぢなみの はなはさかりに なりにけり ならのみやこを おもほすやきみ","なし","なし","雑歌 作者：大伴四綱 太宰府 福岡 地名 望郷","ふぢなみの,[寛]ふちなみの,#はなはさかりに[寛],#なりにけり[寛],#ならのみやこを[寛],#おもほすやきみ[寛],##"
03/0331,"帥大伴卿歌五首","吾盛 復将變八方 殆 寧樂京乎 不見歟将成","我が盛りまたをちめやもほとほとに奈良の都を見ずかなりなむ","わがさかり またをちめやも ほとほとに ならのみやこを みずかなりなむ","なし","なし","雑歌 作者：大伴旅人 太宰府 福岡 望郷 地名","わがさかり,[寛]わかさかり,#またをちめやも,[寛]またかへれはも,#ほとほとに[寛],#ならのみやこを[寛],#みずかなりなむ,[寛]みすかなりなむ,##"
03/0332,"（帥大伴卿歌五首）","吾命毛 常有奴可 昔見之 象<小>河乎 行見為","我が命も常にあらぬか昔見し象の小川を行きて見むため","わがいのちも つねにあらぬか むかしみし きさのをがはを ゆきてみむため","なし","少 -> 小 [類][細]","雑歌 作者：大伴旅人 太宰府 福岡 望郷 地名","わがいのちも,[寛]わかいのちも,#つねにあらぬか[寛],#むかしみし[寛],#きさのをがはを,[寛]きさのをかはを,#ゆきてみむため[寛],##"
03/0333,"（帥大伴卿歌五首）","淺茅原 曲曲二 物念者 故郷之 所念可聞","浅茅原つばらつばらにもの思へば古りにし里し思ほゆるかも","あさぢはら つばらつばらに ものもへば ふりにしさとし おもほゆるかも","なし","なし","雑歌 作者：大伴旅人 太宰府 福岡 望郷 地名 枕詞","あさぢはら,[寛]あさちはら,#つばらつばらに,[寛]とさまかくさまに,#ものもへば,[寛]ものおもへは,#ふりにしさとし,[寛]ふりにしさとの,#おもほゆるかも[寛],##"
03/0334,"（帥大伴卿歌五首）","萱草 吾紐二付 香具山乃 故去之里乎 <忘>之為","忘れ草我が紐に付く香具山の古りにし里を忘れむがため","わすれくさ わがひもにつく かぐやまの ふりにしさとを わすれむがため","なし","不忘 -> 忘 [注釈]","雑歌 作者：大伴旅人 太宰府 福岡 望郷 地名","わすれくさ[寛],#わがひもにつく,[寛]わかひもにつく,#かぐやまの,[寛]かくやまの,#ふりにしさとを[寛],#わすれむがため,[寛]わすれぬかため,##"
03/0335,"（帥大伴卿歌五首）","吾行者 久者不有 夢乃和太 湍者不成而 淵有<乞>","我が行きは久にはあらじ夢のわだ瀬にはならずて淵にありこそ","わがゆきは ひさにはあらじ いめのわだ せにはならずて ふちにありこそ","なし","毛 -> 乞 [古義]","雑歌 作者：大伴旅人 太宰府 福岡 望郷 地名","わがゆきは,[寛]わかゆきは,#ひさにはあらじ,[寛]ひさにはあらし,#いめのわだ,[寛]ここのわた,#せにはならずて,[寛]せとはならすて,#ふちにありこそ,[寛]ふちとありとも,##"
03/0336,"沙弥満誓詠綿歌一首 [造筑紫觀音寺別當俗姓笠朝臣麻呂也]","白縫 筑紫乃綿者 身箸而 未者<伎>袮杼 暖所見","しらぬひ筑紫の綿は身に付けていまだは着ねど暖けく見ゆ","しらぬひ つくしのわたは みにつけて いまだはきねど あたたけくみゆ","なし","妓 -> 伎 [類][古][紀]","雑歌 作者：沙弥満誓 笠麻呂 太宰府 福岡 枕詞 地名 比喩","しらぬひ,[寛]しらぬひの,#つくしのわたは[寛],#みにつけて[寛],#いまだはきねど,[寛]いまたはきねと,#あたたけくみゆ,[寛]あたたかにみゆ,##"
03/0337,"山上憶良臣罷宴歌一首","憶良等者 今者将罷 子将哭 其彼母毛 吾乎将待曽","憶良らは今は罷らむ子泣くらむそれその母も我を待つらむぞ","おくららは いまはまからむ こなくらむ それそのははも わをまつらむぞ","なし","なし","雑歌 作者：山上憶良 罷宴 太宰府 福岡 宴席 地名","おくららは[寛],#いまはまからむ[寛],#こなくらむ[寛],#それそのははも,[寛]そのかのははも,#わをまつらむぞ,[寛]われをまたむそ,##"
03/0338,"<大>宰帥大伴卿讃酒歌十三首","験無 物乎不念者 一坏乃 濁酒乎 可飲有良師","験なきものを思はずは一杯の濁れる酒を飲むべくあるらし","しるしなき ものをおもはずは ひとつきの にごれるさけを のむべくあるらし","なし","太 -> 大 [類][古][紀]","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","しるしなき[寛],#ものをおもはずは,[寛]ものをおもはすは,#ひとつきの[寛],#にごれるさけを,[寛]にこれるさけを,#のむべくあるらし,[寛]のむへくあらし,###[左注]#"
03/0339,"（<大>宰帥大伴卿讃酒歌十三首）","酒名乎 聖跡負師 古昔 大聖之 言乃宜左","酒の名を聖と負ほせしいにしへの大き聖の言の宣しさ","さけのなを ひじりとおほせし いにしへの おほきひじりの ことのよろしさ","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","さけのなを[寛],#ひじりとおほせし,[寛]ひしりとおひし,#いにしへの[寛],#おほきひじりの,[寛]おほきひしりの,#ことのよろしさ[寛],##"
03/0340,"（<大>宰帥大伴卿讃酒歌十三首）","古之 七賢 人等毛 欲為物者 酒西有良師","いにしへの七の賢しき人たちも欲りせしものは酒にしあるらし","いにしへの ななのさかしき ひとたちも ほりせしものは さけにしあるらし","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","いにしへの[寛],#ななのさかしき,[寛]ななのかしこき,#ひとたちも,[寛]ひととらも,#ほりせしものは,[寛]ほりするものは,#さけにしあるらし[寛],##"
03/0341,"（<大>宰帥大伴卿讃酒歌十三首）","賢跡 物言従者 酒飲而 酔哭為師 益有良之","賢しみと物言ふよりは酒飲みて酔ひ泣きするしまさりたるらし","さかしみと ものいふよりは さけのみて ゑひなきするし まさりたるらし","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","さかしみと,[寛]かしこしと,#ものいふよりは[寛],#さけのみて[寛],#ゑひなきするし,[寛]えひなきするし,#まさりたるらし,[寛]まさりてあるらし,##"
03/0342,"（<大>宰帥大伴卿讃酒歌十三首）","将言為便 将為便不知 極 貴物者 酒西有良之","言はむすべ為むすべ知らず極まりて貴きものは酒にしあるらし","いはむすべ せむすべしらず きはまりて たふときものは さけにしあるらし","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","いはむすべ,[寛]いはむすへ,#せむすべしらず,[寛]せむすへしらす,#きはまりて[寛],#たふときものは,[寛]かしこきものは,#さけにしあるらし[寛],##"
03/0343,"（<大>宰帥大伴卿讃酒歌十三首）","中々尓 人跡不有者 酒壷二 成而師鴨 酒二染甞","なかなかに人とあらずは酒壷になりにてしかも酒に染みなむ","なかなかに ひととあらずは さかつぼに なりにてしかも さけにしみなむ","なし","なし","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","なかなかに[寛],#ひととあらずは,[寛]ひととあらすは,#さかつぼに,[寛]さかつほに,#なりにてしかも[寛],#さけにしみなむ[寛].##"
03/0344,"（<大>宰帥大伴卿讃酒歌十三首）","痛醜 賢良乎為跡 酒不飲 人乎熟見<者> 猿二鴨似","あな醜賢しらをすと酒飲まぬ人をよく見ば猿にかも似む","あなみにく さかしらをすと さけのまぬ ひとをよくみば さるにかもにむ","なし","<> -> 者 [西（右書）][類][古][紀]","雑歌 作者：大伴旅人 讃酒 太宰府 奈良 福岡 地名","あなみにく[寛],#さかしらをすと[寛],#さけのまぬ,[寛]さけのまて,#ひとをよくみば,[寛]ひとをみくむは,#さるにかもにむ[寛],##"
